Time,BS_ID,BS_STATUS,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_MID,UE_LOC_X,UE_LOC_Y,MAX_DR (bits),DEMAND_DR (bits),REAL_DR (bits),BS_Trans_PWR (W),UE_Rec_PWR (W),RSRP (dBm),RSSI (dBm),RSRQ (dB),DDR (%), SNR, AVTH, RET, DIST, DIST95
9,0,3,0,0,1,120,97,-0.453449,0.0268763,31.38,102,1,0.375675,1.13968,160,130,130,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.09,1,1.2,0
9,0,3,0,0,1,120,96,0.203449,0.406136,42.62,103,0,-1.22544,4.74732,151,94,94,3.08121e-12,2.56768e-12,-85.9046,-55.1128,-10.7918,0,2.86692,0.03,1,4.90293,0
9,0,3,0,0,1,120,95,-0.446746,0.0307463,37.05,104,1,-7.32141,2.05267,126,124,116,9.34836e-13,7.7903e-13,-91.0845,-60.2926,-10.7918,6.45161,-2.31295,0.25,1,7.60372,1
9,0,3,0,0,1,120,94,0.196746,0.402266,38.74,105,0,-1.7928,8.86554,116,87,87,6.00538e-13,5.00448e-13,-93.0064,-62.2146,-10.7918,0,-4.2349,0.42,1,9.045,1
9,0,3,0,0,1,120,93,-0.440043,0.0346163,56.66,106,1,-4.09285,3.65613,145,18,18,2.28135e-12,1.90112e-12,-87.2099,-56.4181,-10.7918,0,1.56161,0.49,1,5.48805,1
9,0,3,0,0,1,120,92,0.190043,0.398396,31.31,107,0,-2.51153,3.78995,154,150,150,3.73622e-12,3.11351e-12,-85.0675,-54.2757,-10.7918,0,3.70402,0.57,1,4.54659,0
9,0,3,0,0,1,120,91,-0.43334,0.0384863,45.54,108,1,-5.57459,1.14059,143,26,26,2.06711e-12,1.72259e-12,-87.6382,-56.8464,-10.7918,0,1.13334,0.24,1,5.69007,1
9,0,3,0,0,1,120,90,0.18334,0.394526,42.16,109,2,-0.771905,0.918783,160,80,80,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.35,1,1.2,0
9,0,3,0,0,1,120,89,-0.426637,0.0423563,47.46,110,0,-8.14213,0.692917,122,31,31,7.74103e-13,6.45085e-13,-91.9038,-61.112,-10.7918,0,-3.13231,0.46,1,8.17156,1
9,0,3,0,0,1,120,88,0.176637,0.390656,41.24,111,2,-0.78002,1.73868,160,113,103,1.5784e-11,1.31533e-11,-78.8096,-48.0178,-10.7918,8.84956,9.96187,0.73,1,1.90563,0
9,0,3,0,0,1,120,87,-0.419934,0.0462263,32.98,112,2,-0.886209,4.51107,153,65,65,3.63372e-12,3.0281e-12,-85.1883,-54.3965,-10.7918,0,3.58322,0.83,1,4.59729,0
9,0,3,0,0,1,120,86,0.169934,0.386786,44.54,113,0,-3.9334,8.06672,116,90,84,6.12026e-13,5.10022e-13,-92.9241,-62.1323,-10.7918,6.66667,-4.1526,0.61,1,8.97461,1
9,0,3,0,0,1,120,85,-0.413231,0.0500963,58.59,114,2,-3.69365,3.83901,146,30,30,2.47228e-12,2.06023e-12,-86.8608,-56.069,-10.7918,0,1.91068,0.64,1,5.32739,1
9,0,3,0,0,1,120,84,0.163231,0.382916,35.95,115,2,-3.28266,7.3684,123,12,12,8.00405e-13,6.67004e-13,-91.7587,-60.9669,-10.7918,0,-2.9872,0.74,1,8.06655,1
9,0,3,0,0,1,120,83,-0.406528,0.0539663,32.57,116,0,-5.72923,0.0587964,143,121,121,2.02833e-12,1.69028e-12,-87.7204,-56.9286,-10.7918,0,1.05109,0.71,1,5.72954,1
9,0,3,0,0,1,120,82,0.156528,0.379046,34.78,117,2,-3.53819,1.55612,158,151,150,5.48133e-12,4.56777e-12,-83.403,-52.6111,-10.7918,0.662252,5.36856,0.86,1,3.86527,0
9,0,3,0,0,1,120,81,-0.399825,0.0578363,52.42,118,0,0.897779,2.72006,160,97,97,9.6835e-12,8.06958e-12,-80.9315,-50.1397,-10.7918,0,7.84002,0.15,1,2.86439,0
9,0,3,0,0,1,120,80,0.149824,0.375176,59.46,119,0,-1.0777,6.11056,138,119,119,1.62843e-12,1.35703e-12,-88.6741,-57.8823,-10.7918,0,0.0973946,0.34,1,6.20487,1
9,0,3,0,0,1,120,79,-0.393121,0.0617063,33.98,120,2,-4.5723,3.10918,144,23,23,2.2354e-12,1.86283e-12,-87.2983,-56.5065,-10.7918,0,1.47325,0.17,1,5.52928,1
